VN
Brakshears, Mattis
Breckenridge, Alexander
Breckenridge, George
Breckenridge, John
Breden, John
Britt, Obediah
Briggs, John
Brimer, William
Brigham, James
Brooks, George
Brooks, Thomas
Brooks, John
Brooks, William
Brooks, David
Brooks, Moses
Broom, W. M.
Brown, John (k)
Brown, James
Brown, Low
Brown, John S. C.
Brown, Thomas
Brown, Stephen
Brown, Isaiah
Brown, Peter
Brown, George
Brown, Joseph
Brown, Michael
Browning, Enos
Bruster, E. (?)
Brush, Enoch
Buchanan, Samuel
Buchanan, Robert
Buchanan, Alexander
Budvine, Francis
Bullen, William (w)
Bullen, Isaac
Bullen, Luke
Burney, William
Burney, Simon
Burns, Laird
Burns, William
Caldwell, Samuel
Caldwell, William
Callahan, Joel
Callahan, John
- Callaway, Elijah
Callaway, Richard
Callaway, William
Camp, Thomas
Camp, Nathan
Camp, Thomas
Camp, John
Camp, Benjamin
Camp, Edmund
Campbell, Joseph
Campbell, David
Campbell, William Jr.
Campbell, Robert (w)
Campbell, Hugh
Campbell, James
Campbell, Jeremiah
Campbell, Patrick
Candler, Henry
Cantrell, Stephen
ng's Mountain Soldiers
Carmichal, John
Carmack, Cornelius
Carmack, John
Carpenter, John
Carr, Patrick
Carrol, William
Carson, Andrew
Carson, David
Carson, John
Carson, William
Carwell, Alexander
Carswell, John
Cartwright, Joseph
Carathurs, James
Cardwell, Perrin
Carter, Charles
Casewell, Zadrack
Casey, Benjamin
Casey, Levi
Casey, Randolph
Casey, William
Cash, David
Cathcart, Joseph
Castillo, John
Caunice, Nicholas
Chambers, Robert
Chapman, John
Chapman, Benjamin
Cheney, Thomas
Childers, John (w)
Childress, Mitchel
Childress, Thomas
Chisholm, John
Childress, Mitchell
Childress, William
Childress, John
Chittim, John (w)
Chitwood, James
Christian, George (?)
Clark, George
Clark, Michael
Clark, William
Clark, James
Clay, William
Clayborn, John
Clem, William
Cleveland, Ezekiel
Cleveland, Robert
Clon, William
Clowney, Samuel
Cloa, Willis
Cobb, Arthur
Cobb, Jerry
Cobb, Pharoh
Cobb, William Sr.
Cobb, William Jr.
Cockrell, John (?)
Cole, Joseph
Cole, Thomas
Cole, William
Colley, Daniel
Colley, Thomas
Collins, James
Collins, Samuel
Coleman, Spense
120
Collinworth, John
Colvill; Joseph
Colville, Samuel (w)
Compton, Jeremiah
Cook, William
Cook, Charles
Cook, Edward
Cook, Robert
Cook, Elisha
Coop, Horatia
Cope, John
Copeland, Zacheus
Corry, James (k)
Cosby, James
Costner, Thomas
Coulter, Martin
Coultrie, Robert
Covey, Samuel
Cowan, David
Cowan, James
Cowan, Andrew
Cowan, William
Cowan, Samuel
Cowan, Nathaniel
Cowan, Thomas
Cox, Charles
Cox, James
Cox, Curd
Cox, William (w)
Craig, Robert
Craig, David
Craig, James
Craig, John
Crawford, Charles
Crawford, John
Crawford, John
Crenshaw, John
Creswell, Andrew
Crock, William
Crockett, William
Crockett, Samuel
Crockett, John
Cross, Joseph
Cross, Elijah
!
Cross, Zachrack (?)
Crow, James
Crow, John
Crumbless, Thomas
Crunk, William
Culbertson, Josiah
Culbertson, Robert
Cummings, Andrew
Cunningham, Jonathan
Curry, James
Cusick, John
Cusick, George
Cutbirth, Andrew
Dalton, John
Dameron, George
Darnell, David (w)
Darnell, Cornelius
Darnell, Lawrence
David, Azariah
479
