King's Mountain Soldiers
Dave, Thomas
Davidson, Benjamin
Davidson, William
Davidson, Samuel
Davidson, Daniel
Davis, John
Davis, Nathaniel
Davis, Robert
Davis, Samuel
Davis, William
Davis, Joel
Davis, Nathan
Dawson, Ellas
Deatheridge, John
Delaney, William
Dennison, Robert
Depew, Isaac
Desha, Robert
Detgaoorett, John
Dickinson, Henry
Dickey, Andrew
Dickey, David
Dillard, Benjamin
Dillard, James
Dixon, Joseph
Dixon, John
Dixon, Joel
Doaling, Robert
Doherty, George Sr.
Dobkins, Jacob
Dobson, Robert
Dodd, William
Dobson, Joseph
Donald, James
Dolberry, Lytton
Doran, Alexander
Doran, James
Doran, Terence
Dorton, Moses
Dorton, William Jr.
Douglas, James
Douglas, Johnathan (w)
Douglas, Robert
Douglas, Edward
Dryden, James
Dryden, Nathaniel, (k)
Dryden, William
Duck, Samuel
Duckworth, John
Duff, David (k)
Duff, Samuel
Dunn, Samuel
Dunn, William
Duncan, Jesse
Duncan, Joseph
Duncan, John
Duncan, Thomas
Dunlop, James
Dysart, John
Eaken, William
Earnest, Earnest
Earnest, Rev. Felix
Eddleman, Peter
Edgman, William
Edmiston, Samuel
Edmiston, John
Edmiston, Thomas
Edmiston, Robert
Edmiston, William
Elder, Robert
Elmore, William
Ely, William
Enlow, Potter
England, John
England, Joseph
Estill, Benjamin
Evans, Andrew
Evans, Ardin
Evans, David
Evans, Evan
Evans, Samuel
Evans, Phillip
Everett, William
Ewart, James
Ewart, Robert
Ewing, George
Ewin, Hugh
Fagan, John, (w)
Fain, Samuel
Fain, Nicholas
Farewell, James
Farewell, John
Faris, Thomas
Faris, Isaac
Faris, John
Faris, Larkin
Faris, Martin
Faris, Richard
Farrow, Landon
Farrow, Samuel
Farrow, Thomas
Farrow, John
Fear, Thomas
Fear, Edmond
Feimster, William
Findley, John
Findley, George
Fisher, Frederick, (w)
Fitch,John
Fleenor, Charles
Fleenor, Michael
Fleenor, Joel
Flemming, John
Fletcher, Thomas
Floyd, Andrew
Floyd, John
Flower, William (w)
Folson, Andrew
Ford, John
Fork, William
Fork, Peter
Forney, Abraham
Forrister, Robert
Frazer, Daniel
Frazer, John
Frazier, Samuel
Freeman, William
Freeland, James
Frierson, Robert
Frierson, William
Frierson, Thomas
Frierson, James
Frierson, John
Frigge, John
Frigge, J. C.
Frigge, Robert
Frost, Micajah
Fulkerson, Richard
Fulkerson, John
Fulkerson, James
Fulkner, David
Furgason, James
Gaines, James Sr.
Gaines, James
Gaines, Ambrose
Galbreath, Arthur
Galbreath, Robert (?)
Galbreath, John (?)
Galliher, John
Galliher, Joel
Galloway, Alexander
Gamble, Robert
Gamble, Choat
Gamble, Josiah
Gammon, Harris
Gann, Thomas
Garner, John
Gaspenson, John
Gass, John
Gaston, William
Geren, Solomon
Gervis, James
Gibson, John
Gibson, Thomas
Gibbs, Nicholas
Giles, William (w)
Gilleland, John (w)
Gillespie, James
Gillespie, Jacob
Gillespie, Thomas
Gillespie, George
Gilliam, Devereux
Gilmer, Enoch
Gilmer, William (w)
Gist, Joseph
Gist, Joshua
Gist, Nathaniel, (k)
Gist, Richard
Given, James
Gist, Thomas
Given, John
Fowler, William (k)
Glenn, John
Godwin, Joseph
Fowler, John
Fowler, James
Fox, John
Francis, Thomas
Frazer, David
121
Godwin, Robinson
Godwin, Samuel
Goforth, Preston, (k)
Goff, Andrew
480
