King's Mountain Soldiers
Goff, William
Goodman, Henry
Gordon, Charles (w)
Gordon, Chapman
Gordon, George
Gorsage, John
Gourley, Thomas
Graham, James
Graham, William
Graves, Boston
Gray, James
Gray, Jessee
Grantham, Richard
Green, Jesse
Greenlee, James
Greever, Phillip
Greer,, Alexander
Greer, Andrew
Greer, William
Greer, Andrew Jr.
Greer, Joseph
Gregory, John
Grier, John
Grier, James
Griffith, Joseph
Grimes, George
Grimes, James
Guest, Moses
Gwaltney, Nathan
Hackett, John
Hadden, George
Hager, Simon
Haile, John
Hale, William
Hale, Lewis
Hall, David
Hardin, Abraham
Hardin, Joseph, Jr.
Hardin, John
Harkleroad, Henry
Harlison, Herndon
Harrell, Reuben
Harrell, John (?)
Harrell, Joseph (?)
Harrell, Kidder
Harris, James
Harrison, Gideon.
Harrison, Nathaniel
Harmison, John
Harper, Richard
Hart,, Leonard
Harwood, William
Hays, Samuel
Hayter, Israel (w)
Hedrick, William
Helms, John
Helm, Meredith (?)
Helton, Abraham
Hemphill, Charles
Henderson, John
Henderson, Daniel
Henderson, Joseph
Henderson, Robert
Henderson, William
Henderson, John
Hendrick, David
Hendrick, Solomon
Hendrick, Moses
Henegar, Henry (k)
Henegar, Jacob
Henniger, Conrad
Holdway, Timothy,
Holland, Isaac Jr.
Hood, John
Hortenstine, Abraham
Horton, Daniel (?)
Horton, Henry
Horton, Joshua (?)
Horton, John
Horton, Zephaniah (?)
Houston, William
Houston, John
Houston, James
Housley, Robert
Houghton, Thomas
Howard, William
Hubbard, James
Hudson, John
Hufacre, George
Hughes, David
Hughes, Peter
Hughes, Francis
Hughes, Thomas
Hundley, Samuel
Hunter, Thomas
Hyce, Leonard (w)
Hyden, William
Hyder, Michael
Ingle, John
Inglis, Michael
Ingram, Jeremiah
Inman, Abednego (w)
Ireland, Hans
Isaac, Samuel
Hall, John
Hall, Thomas
Hall, Jesse
Hambright, John Hardin
Hamilton, Alexander
Hamilton, Joshua
Hamby, William
Hamer, James
Hamilton, Thomas
Hamilton, John
Hamilton, Robert
Hammond, Charles
Hampton, Edward
Hampton, Jonathan
Hampton, Andrew
Henegar, John
Henry, Henry
Henry, James
Henery,, Moses (k)
Henry, Johm (k)
Henry, Joseph
Henry, Henry
Henry, Robert (w)
Henry, Samuel
Henry, Hugh
Henry, William
Hensley, Samuel
Hereden, James
Hereden, Edward
Hickman, James
Hickman, Joel
Isbell James
Isbell, Francis
Isbell, Livington
Isbell, Thomas
Isbell, Zackary
Isbell, Henry (?)
Ivy, Henry
Jack, James
Jack, Jerimiah
Jack, Patrick (?)
Jackson, Churchwell
James, John
James, Rolling
James, Marlin
Jamison, Samuel
Jamison, John
Jamison, Thomas
Hampton, John
Hampton, Joel
Handly, Robert
Handly, Samuel
Hanna, Robert
Hanna, Andrew
Hancock, Stephen
Hancock, Joseph
Hank, Michael
Hankins, Abraham
Hansley, Robert
Handy, Thomas
Hardeman, Thomas
Hickman, Thomas
Higgins, Johm
Jamison, Robert
Higgenbottom, Robert
Jarnigan, George
Jefferies, John
Jefferies, Nathaniel
Hill, James
Hillian, James
Hillian, John
Hobbs,Thomas
Hoffman, Jacob
Hoffman, John
Hotchkiss, Jared
Holloway, Charles
Holloway, John
Holloway, Benjamin
Hollingsworth, Benjamin
122
Jefferies, Jean
Jefferies, Phillip
Jefferies, Nathan
Jenkins, Jacob
Jenkins, Thomas
Jenkins, William
Jenkins, James
Jennings, David
Jernigan, Thomas
481
