Jernigan, William
Johnson, James S.
Johnson, Barnett
Johnson, John
Johnson, Robert
Johnson, Peter
King's Mountain Soldiers
Johnson, Samuel (w)
Jones, Daniel
Jones, David
Jones, James
Jones, John
Jones, Joseph
Jones, Joshua (w)
Judd, John
Judd, Rowland
Karr, Robert
Karr, Mathew
Keeps, James
Keele, Richard S.
Kelly, John
Kelley, William
Kendrick, Benjamin
Kendrick, Samuel
Kendrick, John
Kendricks, Solomon
Kennedy, Daniel
Kennedy, John
Kennedy, Thomas
Kennedy, Moses
Kennedy, William
Kennedy, Robert
Kendred, Thomas
Kerby, Henry
Kerr, Adam
Kerr, Joseph
Keys, James
Keys, Mathew
Kidd, John
Kilgore, Charles (w)
Kilgore, William
Kilgore, Hiram
Kilgore, James
Kilgore, Robert (w)
King, Robert
King, John
King, William
King, Andrew
Kincannon, Andrew
Kincannon, James
Kincannon, Mathew
Kindle, William
Kinkead, John
Kitchen, John
Knox, Robert
Knox, Benjamin (?)
Knox, Samuel
Knox, James (?)
Kuykendall, Mathew
Kuykendall, Benjamin
Kuykendall, Joseph
Laird, David
Laird, James, (k)
Laird, John, (k)
Lane, Isaac
Lane, Richard
Lane, Tidence
Lane, Aquilla
Lane, William
Lane, Jesse
Lane, Charles
Lane, James
Lane, John
Lane, Samuel
Landrum, James
Landrum, Thomas
Langston, John
Langston, Robert
Lankford, John
Lankford, Benjamin
Lannim, Joseph
Large, Joseph
Larrimore, Hugh
Lathan, John
Latman, Joseph
Lawson, William
Lay, Thomas
Lawson, John
Lee, James
Leeper, Samuel
Leeper, James
Leffy, Shadrack
Lengley, William
Leonard, George
Leonard, Frederick
Leonard, Henry
Leonard, Robert (?)
Lenoir, William
Lesley, Thomas
Lewallen, Michael
Lewis, James
Lewis, John
Lewis, Aron
Lewis, William Terrill
Lewis, Charles
Lindsay, James
Lindsay, John
Linn, Andrew
Linn, Daniel
Linn, William
Limonton, Robert
Litton, Catel
Litton, John
Liles, David
Liture, Harmon
Livingston, David
Logan, Joseph
Logan, William
Logan,, James
Long, John
Long, William
Long, Richard
Long, Robert
Long, Nicholas
Love, Robert
Love, John
Love, Hezekiah
Looney, Robert
Looney, John
Lowery, John
Perbelly
Lowery, William
Loyd, John
Lyle, Henry
Lyle, Samuel
Lynn, David
Lynn, Adam
Lyon, Humberson
Lyon, William
Lytle, Archibald
Lytle, Micajah
Ltyle,, William
Lyman, Jacob
Lusk, William, (k)
Lusk, Joseph
Lusk, Hugh
McAden, William
McAdoo, John
McBee, Silas
McBee, Israel
McCarthy, William
McCallister, William
McCallon, James
McCampbell, Solomon
McClelland, Abraham
McClelland, John
McClough, James
McClure, John
McConnell, Abram
McCormick, Thomas
McCormick, Joseph
McCormick, Robert
McCorkle, Francis
McCoy, Robert
McCroy, Mathew
McCroskey, John
McCulloch, John
McCutcheon, William
McCutcheon, Samuel
McCutcheon, John
McCulloch, Robert (w)
McCulloch, Thomas (k)
McDonald, Magnus
McElwee, James
McElwee, John
McElwee, William
McFarland, Robert
McFerrin, John
McFerrin, Martin
McGaughey, Samuel
McHenry, John
McJucken, Joseph
McKamey, James
McGrill, James
McGill, John
McKee, James
McKisnick, Thomas
McLain, Thomas
McLain, Alexander
McMaster, William
McLemore, John
McMillan, Alexander
McMillan, William
McMillan, Joseph
McNabb, John
DAVID Mc Natt's brother & son of Baptist I
482
