McNelly, John
McNutt, Alexander
McNutt, George
McPeters, Joseph
McQueen, James
King's Mountain Soldiers
McShaney, William
McSpadden, William
McWheeler, Andrew
Madonough, Andrew
Mahannas, Taploy
Mahoney, Nichael (k)
Main, Tobias
Main, Henry
Malaby, John
Manley, Amos
Manor, Josiah
Manor, Thomas
Mason, William
Maples, Marmaduke
Martin, Samuel
Martin, Salathiel
Martin, John
Martin, Robert
Martin, William
Martin, Mathew
Marshall, Marcum
Marney, Amos
Mason, Patrick
Mason, James
Mason, Thomas
Mason, Edward
Massingale, Henry
Massingale, Michael
Massingale, James
Mathews, James
Mattox, Charles
Maxwell, John
Maxwell, James
Maxwell, Thomas
May, Cassimore
May, Humphrey
May, John
Mayes, Samuel
Mayes, William
Meaden, Andrew
Meaden,, John
Meek, John
Meek, Adam
Meek, Moses
Meek, James
Mendenhall, Nathan
Metcalf, William
Miller, John
Miller, Robert (w)
Miller, John H.
Miller, Martin
Millen, John
Millon, Anthony
Miliken, James
Mitchel, James
Mitchel, Elijah
Mitchel, Edward
Moffett, John
Monroe, William
Montgomery, Richard
Montgomery, Robert
Montgomery, Thomas
Mooney, Martin
Mooney, Richard
Moore, Alexander
Moore, Thomas
Moore, John
Moore, Alexander
Moore, James
Moore, William (w)
Moore, Samuel
Moore, William
Moorehead, John
Morgan, Isaac
Morrison, Peter
Morrison, William
Mosier, Francis
Moser, Abraham
Murdoch, John
Munday, Jeremiah
Murphy, Patrick (w)
Murphy, William
Murphy, Joseph
Murphee, Henry
Murphee, John
Musick, Lewis
Nave, Abraham
Nave, Conrad
Nave, Henry
Nave, Teeler
Neal, John
Neal, Zephaniah
Neally, B.
Neally, William
Nelson, John
Nelson, Sutney
Nelson, Willam
Newell, Samuel, Sr.
Newell, Samuel Jr.
Newman, Isaac
Newman, Jacob
Newman, John
Newland, Lewis
Newland, Abram
Newland Isaac
Newton, Benjamin
Nicholas, Flayl
Nicholas, James
Norton, Alexander
Norman, William
Nuanly, Henry
O'Brien, William
Oglesby, Elisha
O'Gullion, Barney
O'Gullion, Hugh
Oliver, Dionysius
Oliphant, John
Outlaw, Alexander
Overton, Eli
Owen, John
Montgomery, Alexander
Montgomery, James
Owen, Robert
Palmer, John
Palmer, Peter
Palmer, Thomas
Panter,Adam
Parke, Ezekial
Parke, George
Parke, Henry
Parke, George
Parker, Humphrey
Patterson, Arthur (k)
Patterson, Arthur, Jr.
Patterson, Thomas
Patterson, Robert
Patterson, John
Patterson, William
Patterson, William (k)
Parry, John
Patton, Robert
Patton, Jacob
Pearce, Joshua
Peck, Adam
Peeber, Silas
Peek, Able
Peek, Adam
Peden, John
Pendergast, Garrett
Pendergrass, Alexander
Penland, Robert
Pemberton, John
Pepper, Elisha (k)
Perkins, Elisha
Perrin, Joseph
Perry, Richard
Perry, Solomon
Perry, Jesse
Perryman, Harmon
Pertle, George
Peters, William
Phillips, James
Phillips, Samuel
Phillips, Joseph
Pierce, Joseph
Pilcher, Robert
Piper, James
Pippin, Robert
Pittman, William
Pitts, Louis
Plunk, Jacob
Polk, Ezekial
Pollard, Chattam
Polson, Andrew
Porter, William
Porter, Mitchell
Porter, John
Portwood, Page
Poston, Richard
Potter, William
Prather, Charles
Prather, Thomas
Preston, Robert
Preston, Walter
Price, James
Price, Jonathan
Price, Thomas
Price, John
Price, Samuel
Pruitt, Martin
483
124
